combined_shot_type,period,shot_distance,shot_made_flag,opponent,shot_type,game_date
Jump Shot,1,16,0,POR,2PT Field Goal,10/28/08
Layup,1,0,1,POR,2PT Field Goal,10/28/08
Layup,1,0,0,POR,2PT Field Goal,10/28/08
Jump Shot,2,16,0,POR,2PT Field Goal,10/28/08
Jump Shot,3,24,1,POR,3PT Field Goal,10/28/08
Layup,3,0,1,POR,2PT Field Goal,10/28/08
Jump Shot,3,22,0,POR,2PT Field Goal,10/28/08
Layup,3,0,1,POR,2PT Field Goal,10/28/08
Jump Shot,4,11,1,POR,2PT Field Goal,10/28/08
Layup,1,0,1,LAC,2PT Field Goal,10/29/08
Jump Shot,1,25,0,LAC,3PT Field Goal,10/29/08
Jump Shot,1,18,1,LAC,2PT Field Goal,10/29/08
Jump Shot,1,19,1,LAC,2PT Field Goal,10/29/08
Layup,1,0,0,LAC,2PT Field Goal,10/29/08
Jump Shot,2,8,0,LAC,2PT Field Goal,10/29/08
Jump Shot,3,5,1,LAC,2PT Field Goal,10/29/08
Layup,3,0,0,LAC,2PT Field Goal,10/29/08
Jump Shot,3,9,0,LAC,2PT Field Goal,10/29/08
Jump Shot,3,27,0,LAC,3PT Field Goal,10/29/08
Jump Shot,3,4,1,LAC,2PT Field Goal,10/29/08
Jump Shot,3,20,0,LAC,2PT Field Goal,10/29/08
Tip Shot,1,0,0,DEN,2PT Field Goal,11/1/08
Layup,1,0,1,DEN,2PT Field Goal,11/1/08
Jump Shot,1,10,1,DEN,2PT Field Goal,11/1/08
Jump Shot,1,22,0,DEN,2PT Field Goal,11/1/08
Jump Shot,1,7,0,DEN,2PT Field Goal,11/1/08
Layup,1,0,1,DEN,2PT Field Goal,11/1/08
Jump Shot,2,20,0,DEN,2PT Field Goal,11/1/08
Jump Shot,2,7,0,DEN,2PT Field Goal,11/1/08
Layup,3,0,1,DEN,2PT Field Goal,11/1/08
Jump Shot,3,17,0,DEN,2PT Field Goal,11/1/08
Jump Shot,3,9,1,DEN,2PT Field Goal,11/1/08
Jump Shot,3,17,1,DEN,2PT Field Goal,11/1/08
Jump Shot,3,19,0,DEN,2PT Field Goal,11/1/08
Jump Shot,3,25,0,DEN,3PT Field Goal,11/1/08
Layup,4,0,0,DEN,2PT Field Goal,11/1/08
Jump Shot,4,24,1,DEN,3PT Field Goal,11/1/08
Jump Shot,4,17,1,DEN,2PT Field Goal,11/1/08
Jump Shot,4,17,0,DEN,2PT Field Goal,11/1/08
Layup,4,0,1,DEN,2PT Field Goal,11/1/08
Layup,4,0,1,DEN,2PT Field Goal,11/1/08
Jump Shot,4,17,0,DEN,2PT Field Goal,11/1/08
Jump Shot,1,11,1,LAC,2PT Field Goal,11/5/08
Jump Shot,1,19,1,LAC,2PT Field Goal,11/5/08
Jump Shot,1,19,1,LAC,2PT Field Goal,11/5/08
Jump Shot,1,10,0,LAC,2PT Field Goal,11/5/08
Jump Shot,1,20,0,LAC,2PT Field Goal,11/5/08
Jump Shot,2,13,0,LAC,2PT Field Goal,11/5/08
Jump Shot,2,10,0,LAC,2PT Field Goal,11/5/08
Jump Shot,2,19,0,LAC,2PT Field Goal,11/5/08
Dunk,2,0,1,LAC,2PT Field Goal,11/5/08
Layup,3,0,1,LAC,2PT Field Goal,11/5/08
Jump Shot,3,22,0,LAC,3PT Field Goal,11/5/08
Layup,3,0,0,LAC,2PT Field Goal,11/5/08
Jump Shot,3,6,0,LAC,2PT Field Goal,11/5/08
Jump Shot,3,12,1,LAC,2PT Field Goal,11/5/08
Jump Shot,3,6,0,LAC,2PT Field Goal,11/5/08
Layup,3,0,1,LAC,2PT Field Goal,11/5/08
Layup,4,0,0,LAC,2PT Field Goal,11/5/08
Hook Shot,1,7,1,HOU,2PT Field Goal,11/9/08
Jump Shot,1,10,0,HOU,2PT Field Goal,11/9/08
Jump Shot,1,21,1,HOU,2PT Field Goal,11/9/08
Jump Shot,2,16,1,HOU,2PT Field Goal,11/9/08
Layup,2,0,0,HOU,2PT Field Goal,11/9/08
Jump Shot,3,6,1,HOU,2PT Field Goal,11/9/08
Jump Shot,3,13,0,HOU,2PT Field Goal,11/9/08
Jump Shot,3,17,1,HOU,2PT Field Goal,11/9/08
Bank Shot,3,14,1,HOU,2PT Field Goal,11/9/08
Jump Shot,3,16,1,HOU,2PT Field Goal,11/9/08
Jump Shot,3,26,0,HOU,3PT Field Goal,11/9/08
Jump Shot,3,19,0,HOU,2PT Field Goal,11/9/08
Jump Shot,4,24,1,HOU,3PT Field Goal,11/9/08
Layup,4,0,0,HOU,2PT Field Goal,11/9/08
Dunk,4,0,1,HOU,2PT Field Goal,11/9/08
Jump Shot,1,12,0,DAL,2PT Field Goal,11/11/08
Jump Shot,1,17,1,DAL,2PT Field Goal,11/11/08
Layup,1,0,1,DAL,2PT Field Goal,11/11/08
Jump Shot,1,18,0,DAL,2PT Field Goal,11/11/08
Layup,1,0,1,DAL,2PT Field Goal,11/11/08
Layup,1,0,0,DAL,2PT Field Goal,11/11/08
Jump Shot,2,20,1,DAL,2PT Field Goal,11/11/08
Jump Shot,2,15,1,DAL,2PT Field Goal,11/11/08
Jump Shot,2,16,0,DAL,2PT Field Goal,11/11/08
Jump Shot,2,14,0,DAL,2PT Field Goal,11/11/08
Jump Shot,2,25,0,DAL,3PT Field Goal,11/11/08
Jump Shot,3,8,0,DAL,2PT Field Goal,11/11/08
Dunk,4,0,1,DAL,2PT Field Goal,11/11/08
Jump Shot,4,20,1,DAL,2PT Field Goal,11/11/08
Jump Shot,4,16,1,DAL,2PT Field Goal,11/11/08
Layup,4,0,1,DAL,2PT Field Goal,11/11/08
Jump Shot,4,17,0,DAL,2PT Field Goal,11/11/08
Jump Shot,4,18,0,DAL,2PT Field Goal,11/11/08
Jump Shot,1,18,0,NOH,2PT Field Goal,11/12/08
Jump Shot,1,8,0,NOH,2PT Field Goal,11/12/08
Jump Shot,1,18,0,NOH,2PT Field Goal,11/12/08
Layup,2,0,0,NOH,2PT Field Goal,11/12/08
Jump Shot,3,18,0,NOH,2PT Field Goal,11/12/08
Layup,3,0,0,NOH,2PT Field Goal,11/12/08
Jump Shot,3,16,1,NOH,2PT Field Goal,11/12/08
Jump Shot,3,20,0,NOH,2PT Field Goal,11/12/08
Jump Shot,4,18,0,NOH,2PT Field Goal,11/12/08
Bank Shot,4,7,1,NOH,2PT Field Goal,11/12/08
Jump Shot,4,19,0,NOH,2PT Field Goal,11/12/08
Layup,4,0,0,NOH,2PT Field Goal,11/12/08
Jump Shot,4,26,1,NOH,3PT Field Goal,11/12/08
Jump Shot,1,21,0,DET,2PT Field Goal,11/14/08
Jump Shot,1,7,1,DET,2PT Field Goal,11/14/08
Jump Shot,1,9,0,DET,2PT Field Goal,11/14/08
Dunk,1,0,1,DET,2PT Field Goal,11/14/08
Jump Shot,1,16,0,DET,2PT Field Goal,11/14/08
Dunk,1,0,1,DET,2PT Field Goal,11/14/08
Jump Shot,1,13,0,DET,2PT Field Goal,11/14/08
Jump Shot,2,10,1,DET,2PT Field Goal,11/14/08
Jump Shot,2,15,0,DET,2PT Field Goal,11/14/08
Jump Shot,2,8,0,DET,2PT Field Goal,11/14/08
Jump Shot,2,15,0,DET,2PT Field Goal,11/14/08
Jump Shot,3,11,0,DET,2PT Field Goal,11/14/08
Jump Shot,3,18,0,DET,2PT Field Goal,11/14/08
Jump Shot,3,15,1,DET,2PT Field Goal,11/14/08
Layup,3,3,0,DET,2PT Field Goal,11/14/08
Dunk,3,0,1,DET,2PT Field Goal,11/14/08
Jump Shot,3,25,0,DET,3PT Field Goal,11/14/08
Jump Shot,4,25,0,DET,3PT Field Goal,11/14/08
Jump Shot,4,11,0,DET,2PT Field Goal,11/14/08
Jump Shot,4,25,1,DET,3PT Field Goal,11/14/08
Jump Shot,4,27,1,DET,3PT Field Goal,11/14/08
Jump Shot,4,26,0,DET,3PT Field Goal,11/14/08
Layup,4,0,1,DET,2PT Field Goal,11/14/08
Jump Shot,4,24,0,DET,3PT Field Goal,11/14/08
Dunk,4,0,1,DET,2PT Field Goal,11/14/08
Jump Shot,1,13,0,CHI,2PT Field Goal,11/18/08
Layup,2,0,1,CHI,2PT Field Goal,11/18/08
Jump Shot,2,11,1,CHI,2PT Field Goal,11/18/08
Layup,2,0,1,CHI,2PT Field Goal,11/18/08
Jump Shot,2,26,0,CHI,3PT Field Goal,11/18/08
Layup,2,0,0,CHI,2PT Field Goal,11/18/08
Jump Shot,3,19,1,CHI,2PT Field Goal,11/18/08
Jump Shot,3,25,1,CHI,3PT Field Goal,11/18/08
Tip Shot,3,0,0,CHI,2PT Field Goal,11/18/08
Jump Shot,3,19,1,CHI,2PT Field Goal,11/18/08
Jump Shot,3,26,0,CHI,3PT Field Goal,11/18/08
Jump Shot,3,23,1,CHI,3PT Field Goal,11/18/08
Jump Shot,4,26,1,CHI,3PT Field Goal,11/18/08
Jump Shot,4,5,0,CHI,2PT Field Goal,11/18/08
Jump Shot,1,25,0,PHX,3PT Field Goal,11/20/08
Jump Shot,1,7,0,PHX,2PT Field Goal,11/20/08
Jump Shot,1,20,0,PHX,2PT Field Goal,11/20/08
Jump Shot,1,6,1,PHX,2PT Field Goal,11/20/08
Jump Shot,1,9,1,PHX,2PT Field Goal,11/20/08
Dunk,2,0,1,PHX,2PT Field Goal,11/20/08
Jump Shot,2,20,0,PHX,2PT Field Goal,11/20/08
Jump Shot,2,10,0,PHX,2PT Field Goal,11/20/08
Jump Shot,2,16,0,PHX,2PT Field Goal,11/20/08
Layup,2,0,1,PHX,2PT Field Goal,11/20/08
Dunk,3,0,1,PHX,2PT Field Goal,11/20/08
Jump Shot,3,26,1,PHX,3PT Field Goal,11/20/08
Jump Shot,3,26,0,PHX,3PT Field Goal,11/20/08
Bank Shot,3,9,0,PHX,2PT Field Goal,11/20/08
Jump Shot,3,12,0,PHX,2PT Field Goal,11/20/08
Jump Shot,3,24,0,PHX,3PT Field Goal,11/20/08
Jump Shot,3,10,1,PHX,2PT Field Goal,11/20/08
Jump Shot,4,8,0,PHX,2PT Field Goal,11/20/08
Jump Shot,4,18,0,PHX,2PT Field Goal,11/20/08
Jump Shot,1,12,0,DEN,2PT Field Goal,11/21/08
Jump Shot,1,16,1,DEN,2PT Field Goal,11/21/08
Jump Shot,1,10,1,DEN,2PT Field Goal,11/21/08
Jump Shot,1,22,0,DEN,2PT Field Goal,11/21/08
Jump Shot,1,18,1,DEN,2PT Field Goal,11/21/08
Dunk,1,0,0,DEN,2PT Field Goal,11/21/08
Layup,2,0,0,DEN,2PT Field Goal,11/21/08
Layup,2,0,1,DEN,2PT Field Goal,11/21/08
Dunk,2,0,1,DEN,2PT Field Goal,11/21/08
Jump Shot,2,27,1,DEN,3PT Field Goal,11/21/08
Jump Shot,3,10,1,DEN,2PT Field Goal,11/21/08
Jump Shot,3,27,0,DEN,3PT Field Goal,11/21/08
Jump Shot,3,14,1,DEN,2PT Field Goal,11/21/08
Jump Shot,3,16,1,DEN,2PT Field Goal,11/21/08
Jump Shot,3,29,0,DEN,3PT Field Goal,11/21/08
Jump Shot,1,11,1,SAC,2PT Field Goal,11/23/08
Jump Shot,1,19,1,SAC,2PT Field Goal,11/23/08
Layup,1,0,0,SAC,2PT Field Goal,11/23/08
Layup,1,0,0,SAC,2PT Field Goal,11/23/08
Jump Shot,2,19,0,SAC,2PT Field Goal,11/23/08
Jump Shot,2,10,0,SAC,2PT Field Goal,11/23/08
Jump Shot,3,10,1,SAC,2PT Field Goal,11/23/08
Jump Shot,3,5,0,SAC,2PT Field Goal,11/23/08
Jump Shot,3,16,0,SAC,2PT Field Goal,11/23/08
Layup,3,0,1,SAC,2PT Field Goal,11/23/08
Layup,3,0,1,SAC,2PT Field Goal,11/23/08
Dunk,3,0,1,SAC,2PT Field Goal,11/23/08
Layup,4,0,0,SAC,2PT Field Goal,11/23/08
Jump Shot,4,20,1,SAC,2PT Field Goal,11/23/08
Layup,4,0,0,SAC,2PT Field Goal,11/23/08
Jump Shot,4,24,0,SAC,3PT Field Goal,11/23/08
Jump Shot,1,13,0,NJN,2PT Field Goal,11/25/08
Layup,1,0,0,NJN,2PT Field Goal,11/25/08
Jump Shot,1,22,0,NJN,2PT Field Goal,11/25/08
Dunk,1,0,1,NJN,2PT Field Goal,11/25/08
Jump Shot,2,19,0,NJN,2PT Field Goal,11/25/08
Jump Shot,2,25,0,NJN,3PT Field Goal,11/25/08
Jump Shot,3,19,1,NJN,2PT Field Goal,11/25/08
Jump Shot,3,21,1,NJN,2PT Field Goal,11/25/08
Jump Shot,3,24,0,NJN,3PT Field Goal,11/25/08
Jump Shot,3,18,0,NJN,2PT Field Goal,11/25/08
Jump Shot,3,16,0,NJN,2PT Field Goal,11/25/08
Dunk,3,0,1,NJN,2PT Field Goal,11/25/08
Layup,3,0,1,NJN,2PT Field Goal,11/25/08
Jump Shot,1,16,0,DAL,2PT Field Goal,11/28/08
Jump Shot,1,21,0,DAL,2PT Field Goal,11/28/08
Layup,1,0,0,DAL,2PT Field Goal,11/28/08
Layup,1,0,1,DAL,2PT Field Goal,11/28/08
Layup,1,0,1,DAL,2PT Field Goal,11/28/08
Layup,1,0,0,DAL,2PT Field Goal,11/28/08
Jump Shot,1,25,1,DAL,3PT Field Goal,11/28/08
Jump Shot,1,23,0,DAL,3PT Field Goal,11/28/08
Jump Shot,2,7,1,DAL,2PT Field Goal,11/28/08
Jump Shot,2,23,0,DAL,3PT Field Goal,11/28/08
Jump Shot,3,21,1,DAL,2PT Field Goal,11/28/08
Jump Shot,3,19,1,DAL,2PT Field Goal,11/28/08
Jump Shot,3,18,0,DAL,2PT Field Goal,11/28/08
Jump Shot,3,12,1,DAL,2PT Field Goal,11/28/08
Jump Shot,3,6,1,DAL,2PT Field Goal,11/28/08
Jump Shot,3,16,1,DAL,2PT Field Goal,11/28/08
Jump Shot,3,20,0,DAL,2PT Field Goal,11/28/08
Jump Shot,4,19,1,DAL,2PT Field Goal,11/28/08
Layup,4,0,1,DAL,2PT Field Goal,11/28/08
Jump Shot,4,24,0,DAL,3PT Field Goal,11/28/08
